ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/08/2021,Adult,Hepato-Biliary Surgery,22,9,6,50,87
26/08/2021,Adult,Maxillo-Facial,269,113,45,282,709
26/08/2021,Adult,Nephrology,51,4,2,2,59
26/08/2021,Adult,Neurology,241,32,12,65,350
26/08/2021,Adult,Neurosurgery,285,171,67,87,610
26/08/2021,Adult,Oncology,88,4,2,0,94
26/08/2021,Adult,Ophthalmology,"5,227","1,153",415,993,"7,788"
26/08/2021,Adult,Oral Surgery,194,118,39,120,471
26/08/2021,Adult,Orthopaedics,"5,153","1,852",751,"1,942","9,698"
26/08/2021,Adult,Otolaryngology (ENT),"1,715",648,262,840,"3,465"
26/08/2021,Adult,Pain Relief,"2,349",994,438,"1,106","4,887"
26/08/2021,Adult,Plastic Surgery,"1,953",797,273,909,"3,932"
26/08/2021,Adult,Radiology,21,17,2,0,40
26/08/2021,Adult,Respiratory Medicine,206,72,32,141,451
26/08/2021,Adult,Rheumatology,232,72,46,112,462
26/08/2021,Adult,Small Volume Specialties,10,2,4,2,18
26/08/2021,Adult,Urology,"4,470","1,798",882,"1,655","8,805"
26/08/2021,Adult,Vascular Surgery,751,308,108,286,"1,453"
26/08/2021,Child,Cardio-Thoracic Surgery,45,10,2,0,57
26/08/2021,Child,Clinical Immunology,111,21,4,13,149
26/08/2021,Child,Dental Surgery,88,58,30,110,286
26/08/2021,Child,General Surgery,157,55,14,22,248
26/08/2021,Child,Immunology,50,22,8,14,94
26/08/2021,Child,Maxillo-Facial,52,19,4,34,109
26/08/2021,Child,Ophthalmology,303,147,75,116,641
26/08/2021,Child,Oral Surgery,13,7,4,8,32
26/08/2021,Child,Orthopaedics,229,52,34,40,355
26/08/2021,Child,Otolaryngology (ENT),254,117,28,81,480
26/08/2021,Child,Paed Cardiology,111,48,25,32,216
26/08/2021,Child,Paed Endocrinology,38,10,9,10,67
26/08/2021,Child,Paed Gastro-Enterol,12,6,6,4,27
26/08/2021,Child,Paed Orthopaedic,409,272,123,399,"1,203"
26/08/2021,Child,Paediatric Dermatology,34,26,4,2,66
26/08/2021,Child,Paediatric ENT,219,139,63,155,576
26/08/2021,Child,Paediatric Neurology,12,6,6,8,31
26/08/2021,Child,Paediatric Neurosurgery,11,11,6,4,31
26/08/2021,Child,Paediatric Radiology,12,6,9,21,47
