Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,8800,Immunology,Child,0-15, 0-3 Months,64
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Adult,16-64,18 Months +,891
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Child,0-15,15-18 Months,34
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Child,0-15,18 Months +,444
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0900,Geriatric Medicine,Adult,16-64, 0-3 Months,4
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0900,Geriatric Medicine,Adult,65+, 3-6 Months,22
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0900,Geriatric Medicine,Adult,65+, 6-9 Months,18
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1503,Gynaecology,Adult,16-64,15-18 Months,1
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1503,Gynaecology,Child,0-15, 0-3 Months,4
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1503,Gynaecology,Child,0-15, 3-6 Months,4
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1503,Gynaecology,Child,0-15, 9-12 Months,1
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Adult,65+,15-18 Months,1
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Adult,65+,18 Months +,35
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Child,0-15, 0-3 Months,24
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Child,0-15, 3-6 Months,27
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Child,0-15, 9-12 Months,5
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1800,Orthopaedics,Child,0-15,12-15 Months,15
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,1900,Paediatrics,Adult,16-64,12-15 Months,1
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,16-64,15-18 Months,3
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+, 0-3 Months,15
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+, 3-6 Months,13
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+, 6-9 Months,9
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+, 9-12 Months,5
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+,12-15 Months,6
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2300,Nephrology,Adult,65+,18 Months +,60
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2600,General Surgery,Adult,16-64, 0-3 Months,344
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2600,General Surgery,Adult,16-64, 3-6 Months,328
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2600,General Surgery,Adult,16-64, 6-9 Months,213
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2600,General Surgery,Adult,16-64,12-15 Months,153
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,2600,General Surgery,Adult,65+,15-18 Months,43
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,5000,General Medicine,Adult,16-64,15-18 Months,141
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,5000,General Medicine,Child,0-15, 3-6 Months,2
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,5000,General Medicine,Child,0-15, 9-12 Months,2
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,7800,Urology,Adult,16-64, 3-6 Months,17
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,7800,Urology,Adult,16-64, 6-9 Months,15
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,7800,Urology,Adult,16-64,12-15 Months,10
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,7800,Urology,Child,0-15,18 Months +,5
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0400,Endocrinology,Adult,16-64, 3-6 Months,36
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0400,Endocrinology,Adult,16-64, 6-9 Months,33
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0400,Endocrinology,Adult,16-64, 9-12 Months,16
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0400,Endocrinology,Adult,16-64,12-15 Months,18
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,0-15,15-18 Months,25
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,0-15,18 Months +,104
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,55
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,16-64,12-15 Months,33
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,16-64,18 Months +,307
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0600,Otolaryngology (ENT),Adult,65+, 0-3 Months,23
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0900,Geriatric Medicine,Adult,65+, 0-3 Months,41
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,0900,Geriatric Medicine,Adult,65+, 3-6 Months,4
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,1800,Orthopaedics,Adult,65+,15-18 Months,15
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,0-15,15-18 Months,4
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,0-15,18 Months +,3
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,16-64, 0-3 Months,262
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,16-64,18 Months +,217
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,65+, 3-6 Months,100
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,65+, 6-9 Months,49
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,65+, 9-12 Months,44
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2000,Plastic Surgery,Adult,65+,12-15 Months,64
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2600,General Surgery,Adult,16-64, 0-3 Months,215
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2600,General Surgery,Adult,16-64, 9-12 Months,2
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2600,General Surgery,Adult,65+, 6-9 Months,15
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,16-64, 0-3 Months,71
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,16-64, 9-12 Months,24
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,16-64,15-18 Months,60
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,16-64,18 Months +,275
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,65+, 3-6 Months,48
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,65+, 6-9 Months,42
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,2604,Vascular Surgery,Adult,65+,12-15 Months,38
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,5000,General Medicine,Adult,65+,15-18 Months,10
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,7800,Urology,Adult,0-15, 0-3 Months,5
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,7800,Urology,Adult,0-15, 9-12 Months,1
