ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Child,Midland Regional Hospital Mullingar,534,212,150,157,"1,052"
13/05/2021,Child,Midland Regional Hospital Portlaoise,388,239,151,64,842
13/05/2021,Child,Midland Regional Hospital Tullamore,557,379,492,"1,357","2,784"
13/05/2021,Child,Naas General Hospital,9,2,0,0,11
13/05/2021,Child,National Orthopaedic Hospital Cappagh,176,30,32,10,248
13/05/2021,Child,Nenagh Hospital,12,5,7,4,28
13/05/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,386",724,316,277,"2,702"
13/05/2021,Child,Our Lady's Hospital Navan,19,17,10,0,45
13/05/2021,Child,Portiuncula University Hospital,348,90,38,63,539
13/05/2021,Child,Rotunda Hospital,23,7,0,0,30
13/05/2021,Child,Royal Victoria Eye and Ear Hospital,208,104,122,478,912
13/05/2021,Child,Sligo University Hospital,765,465,385,438,"2,054"
13/05/2021,Child,Small Volume Hospitals,2,0,0,0,2
13/05/2021,Child,South Infirmary Victoria University Hospital,"1,046",415,138,389,"1,987"
13/05/2021,Child,St. John's Hospital Limerick,7,5,0,0,12
13/05/2021,Child,St. Luke's General Hospital Kilkenny,260,9,2,0,270
13/05/2021,Child,Tallaght University Hospital,36,5,9,4,54
13/05/2021,Child,Tipperary University Hospital,261,82,2,0,344
13/05/2021,Child,University Hospital Kerry,390,205,163,336,"1,094"
13/05/2021,Child,University Hospital Limerick,"1,259",729,715,"2,005","4,707"
13/05/2021,Child,University Hospital Waterford,"1,072",564,654,"2,333","4,624"
13/05/2021,Child,Wexford General Hospital,374,20,0,0,393
29/07/2021,Adult,Bantry General Hospital,621,379,212,433,"1,645"
29/07/2021,Adult,Beaumont Hospital,"16,363","4,899","1,507","1,111","23,880"
29/07/2021,Adult,Cavan General Hospital,"3,113","1,412",758,729,"6,012"
29/07/2021,Adult,Connolly Hospital Blanchardstown,"5,175","1,291",583,520,"7,569"
29/07/2021,Adult,Coombe Women and Infants University Hospital,"1,588",595,458,494,"3,135"
29/07/2021,Adult,Cork University Hospital,"10,921","6,681","3,708","9,411","30,721"
29/07/2021,Adult,Cork University Maternity Hospital,"1,601",405,53,8,"2,067"
29/07/2021,Adult,Croom Orthopaedic Hospital,"1,635","1,396",934,751,"4,716"
29/07/2021,Adult,Ennis Hospital,519,419,310,828,"2,076"
29/07/2021,Adult,Galway University Hospitals,"17,154","11,501","7,068","18,697","54,420"
29/07/2021,Adult,Letterkenny University Hospital,"6,529","3,410","2,443","6,479","18,861"
29/07/2021,Adult,Louth County Hospital,"1,537",692,339,190,"2,758"
29/07/2021,Adult,Mallow General Hospital,"1,413",635,355,319,"2,722"
29/07/2021,Adult,Mater Misericordiae University Hospital,"20,528","8,116","4,645","11,649","44,938"
29/07/2021,Adult,Mayo University Hospital,"3,635","3,188","1,928","4,835","13,586"
29/07/2021,Adult,Mercy University Hospital,"2,507","1,155",856,"2,502","7,020"
29/07/2021,Adult,Midland Regional Hospital Mullingar,"3,460","2,458","1,665","1,223","8,806"
29/07/2021,Adult,Midland Regional Hospital Portlaoise,"2,250","1,592",864,"1,883","6,589"
29/07/2021,Adult,Midland Regional Hospital Tullamore,"5,356","3,228","2,205","6,269","17,058"
29/07/2021,Adult,Naas General Hospital,"4,245","1,995","1,456","3,211","10,907"
29/07/2021,Adult,National Orthopaedic Hospital Cappagh,"1,650",319,135,87,"2,191"
29/07/2021,Adult,Nenagh Hospital,357,378,274,210,"1,219"
29/07/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,144","3,404","1,354","1,351","12,253"
29/07/2021,Adult,Our Lady's Hospital Navan,"2,672","1,624","1,058","2,491","7,845"
29/07/2021,Adult,Portiuncula University Hospital,"1,839",858,449,835,"3,981"
29/07/2021,Adult,Roscommon University Hospital,"2,553","1,247",721,"1,950","6,471"
29/07/2021,Adult,Rotunda Hospital,"2,293","1,022",27,2,"3,344"
29/07/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,615","2,257","1,817","7,583","15,272"
29/07/2021,Adult,Sligo University Hospital,"6,504","4,206","2,525","5,129","18,364"
29/07/2021,Adult,South Infirmary Victoria University Hospital,"7,520","3,416","2,162","7,691","20,789"
29/07/2021,Adult,St. Columcille's Hospital,"1,821","1,124",800,"1,825","5,570"
29/07/2021,Adult,St. James's Hospital,"12,791","4,910","2,671","5,132","25,504"
29/07/2021,Adult,St. John's Hospital Limerick,727,510,148,477,"1,862"
29/07/2021,Adult,St. Luke's General Hospital Kilkenny,"2,368",461,138,164,"3,131"
29/07/2021,Adult,St. Michael's Hospital,"2,363",511,218,447,"3,539"
29/07/2021,Adult,St. Vincent's University Hospital,"13,125","4,731","2,954","6,048","26,858"
29/07/2021,Adult,Tallaght University Hospital,"11,554","7,523","4,563","11,821","35,461"
29/07/2021,Adult,Tipperary University Hospital,"2,107",803,358,644,"3,912"
29/07/2021,Adult,University Hospital Kerry,"4,131","2,460","1,555","3,134","11,280"
29/07/2021,Adult,University Hospital Limerick,"11,362","7,746","5,154","19,229","43,491"
29/07/2021,Adult,University Hospital Waterford,"13,090","7,972","5,637","15,701","42,400"
29/07/2021,Adult,Wexford General Hospital,"2,320",865,164,15,"3,364"
29/07/2021,Child,Beaumont Hospital,87,17,5,2,111
29/07/2021,Child,Cavan General Hospital,395,81,42,15,533
29/07/2021,Child,Children's Health Ireland,"15,285","7,504","5,123","15,069","42,980"
29/07/2021,Child,Cork University Hospital,"2,355","1,143",623,"1,204","5,326"
29/07/2021,Child,Cork University Maternity Hospital,38,2,0,0,40
29/07/2021,Child,Croom Orthopaedic Hospital,101,51,46,13,211
29/07/2021,Child,Ennis Hospital,16,5,4,10,36
29/07/2021,Child,Galway University Hospitals,"2,201","1,178",664,"1,466","5,508"
29/07/2021,Child,Letterkenny University Hospital,735,248,218,928,"2,129"
29/07/2021,Child,Mallow General Hospital,70,30,18,35,152
29/07/2021,Child,Mayo University Hospital,615,242,134,754,"1,745"
29/07/2021,Child,Mercy University Hospital,284,118,72,74,547
29/07/2021,Child,Midland Regional Hospital Mullingar,541,252,140,179,"1,113"
29/07/2021,Child,Midland Regional Hospital Portlaoise,398,261,139,85,884
29/07/2021,Child,Midland Regional Hospital Tullamore,669,437,403,"1,426","2,934"
29/07/2021,Child,National Orthopaedic Hospital Cappagh,126,36,26,7,195
29/07/2021,Child,Nenagh Hospital,9,5,4,7,25
29/07/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,514",911,260,290,"2,974"
29/07/2021,Child,Our Lady's Hospital Navan,20,14,16,4,53
29/07/2021,Child,Portiuncula University Hospital,365,77,32,72,545
29/07/2021,Child,Rotunda Hospital,24,8,2,0,34
29/07/2021,Child,Royal Victoria Eye and Ear Hospital,222,106,98,522,948
29/07/2021,Child,Sligo University Hospital,862,466,326,486,"2,140"
29/07/2021,Child,Small Volume Hospitals,14,9,0,0,23
29/07/2021,Child,South Infirmary Victoria University Hospital,"1,098",363,126,382,"1,968"
29/07/2021,Child,St. Luke's General Hospital Kilkenny,306,15,0,2,322
29/07/2021,Child,Tallaght University Hospital,46,5,4,5,60
29/07/2021,Child,Tipperary University Hospital,308,66,2,0,375
29/07/2021,Child,University Hospital Kerry,410,223,135,350,"1,118"
29/07/2021,Child,University Hospital Limerick,"1,202",789,545,"2,198","4,735"
29/07/2021,Child,University Hospital Waterford,"1,128",627,465,"2,534","4,754"
29/07/2021,Child,Wexford General Hospital,382,10,2,2,395
26/08/2021,Adult,Bantry General Hospital,626,353,174,449,"1,602"
26/08/2021,Adult,Beaumont Hospital,"16,927","4,657","1,376","1,139","24,098"
26/08/2021,Adult,Cavan General Hospital,"3,212","1,307",685,794,"5,997"
26/08/2021,Adult,Connolly Hospital Blanchardstown,"4,848","1,073",304,153,"6,377"
26/08/2021,Adult,Coombe Women and Infants University Hospital,"1,666",422,275,393,"2,756"
26/08/2021,Adult,Cork University Hospital,"11,166","6,798","3,477","9,877","31,318"
26/08/2021,Adult,Cork University Maternity Hospital,"1,474",405,63,9,"1,951"
26/08/2021,Adult,Croom Orthopaedic Hospital,"1,757","1,318",933,804,"4,812"
26/08/2021,Adult,Ennis Hospital,539,400,285,855,"2,079"
26/08/2021,Adult,Galway University Hospitals,"17,162","11,447","6,851","19,298","54,757"
26/08/2021,Adult,Letterkenny University Hospital,"6,637","3,309","2,228","6,602","18,775"
26/08/2021,Adult,Louth County Hospital,"1,566",659,340,236,"2,801"
26/08/2021,Adult,Mallow General Hospital,"1,491",574,322,328,"2,715"
26/08/2021,Adult,Mater Misericordiae University Hospital,"21,115","7,939","4,435","11,969","45,457"
26/08/2021,Adult,Mayo University Hospital,"3,761","3,185","1,631","3,707","12,284"
26/08/2021,Adult,Mercy University Hospital,"2,570","1,082",808,"2,533","6,993"
26/08/2021,Adult,Midland Regional Hospital Mullingar,"3,655","2,409","1,554","1,374","8,992"
26/08/2021,Adult,Midland Regional Hospital Portlaoise,"2,319","1,537",787,"1,999","6,642"
26/08/2021,Adult,Midland Regional Hospital Tullamore,"5,218","3,167","2,144","5,863","16,392"
26/08/2021,Adult,Naas General Hospital,"4,537","1,986","1,289","3,470","11,281"
26/08/2021,Adult,National Orthopaedic Hospital Cappagh,"1,803",317,109,112,"2,341"
26/08/2021,Adult,Nenagh Hospital,376,358,239,236,"1,209"
26/08/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,352","3,326","1,416","1,416","12,508"
26/08/2021,Adult,Our Lady's Hospital Navan,"2,722","1,611","1,003","2,573","7,909"
26/08/2021,Adult,Portiuncula University Hospital,"1,872",777,423,826,"3,897"
26/08/2021,Adult,Roscommon University Hospital,"2,756","1,253",734,"2,033","6,776"
26/08/2021,Adult,Rotunda Hospital,"2,286",961,13,2,"3,262"
26/08/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,728","2,148","1,403","7,076","14,355"
26/08/2021,Adult,Sligo University Hospital,"6,479","4,135","2,527","5,414","18,554"
26/08/2021,Adult,South Infirmary Victoria University Hospital,"7,942","3,401","1,976","7,921","21,240"
26/08/2021,Adult,St. Columcille's Hospital,"1,895","1,127",802,"1,871","5,694"
26/08/2021,Adult,St. James's Hospital,"13,130","5,006","2,515","5,080","25,730"
26/08/2021,Adult,St. John's Hospital Limerick,707,500,147,480,"1,833"
26/08/2021,Adult,St. Luke's General Hospital Kilkenny,"2,480",492,121,131,"3,223"
26/08/2021,Adult,St. Michael's Hospital,"2,455",485,159,428,"3,527"
26/08/2021,Adult,St. Vincent's University Hospital,"13,644","4,660","2,485","4,803","25,591"
26/08/2021,Adult,Tallaght University Hospital,"12,095","7,532","4,256","11,957","35,839"
26/08/2021,Adult,Tipperary University Hospital,"2,140",823,364,660,"3,986"
26/08/2021,Adult,University Hospital Kerry,"4,244","2,349","1,522","3,302","11,416"
26/08/2021,Adult,University Hospital Limerick,"11,806","7,564","4,680","19,607","43,656"
26/08/2021,Adult,University Hospital Waterford,"13,329","8,001","5,345","15,684","42,359"
26/08/2021,Adult,Wexford General Hospital,"2,389",844,149,31,"3,413"
26/08/2021,Child,Beaumont Hospital,111,14,7,5,138
26/08/2021,Child,Cavan General Hospital,404,65,35,28,533
26/08/2021,Child,Children's Health Ireland,"15,840","8,078","4,297","16,059","44,274"
26/08/2021,Child,Cork University Hospital,"2,408","1,119",565,"1,290","5,382"
26/08/2021,Child,Cork University Maternity Hospital,39,5,0,0,44
26/08/2021,Child,Croom Orthopaedic Hospital,117,50,44,19,230
26/08/2021,Child,Ennis Hospital,18,7,4,5,35
26/08/2021,Child,Galway University Hospitals,"2,210","1,190",614,"1,525","5,540"
26/08/2021,Child,Letterkenny University Hospital,705,239,181,957,"2,082"
26/08/2021,Child,Mallow General Hospital,71,17,15,19,122
26/08/2021,Child,Mayo University Hospital,621,265,88,519,"1,494"
26/08/2021,Child,Mercy University Hospital,287,106,52,77,522
26/08/2021,Child,Midland Regional Hospital Mullingar,554,245,124,194,"1,118"
26/08/2021,Child,Midland Regional Hospital Portlaoise,426,242,128,91,888
26/08/2021,Child,Midland Regional Hospital Tullamore,658,433,330,"1,500","2,921"
26/08/2021,Child,National Orthopaedic Hospital Cappagh,132,39,21,12,204
26/08/2021,Child,Nenagh Hospital,7,7,4,8,26
26/08/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,518",964,223,312,"3,017"
26/08/2021,Child,Our Lady's Hospital Navan,12,16,18,4,50
26/08/2021,Child,Portiuncula University Hospital,348,62,31,64,505
26/08/2021,Child,Rotunda Hospital,25,8,2,0,35
26/08/2021,Child,Royal Victoria Eye and Ear Hospital,238,117,73,462,890
26/08/2021,Child,Sligo University Hospital,899,448,325,493,"2,165"
26/08/2021,Child,Small Volume Hospitals,9,11,0,0,20
26/08/2021,Child,South Infirmary Victoria University Hospital,"1,095",334,102,394,"1,925"
26/08/2021,Child,St. Luke's General Hospital Kilkenny,315,20,2,0,337
26/08/2021,Child,Tallaght University Hospital,54,9,4,5,72
26/08/2021,Child,Tipperary University Hospital,321,63,4,0,388
26/08/2021,Child,University Hospital Kerry,426,226,109,359,"1,120"
26/08/2021,Child,University Hospital Limerick,"1,231",756,482,"2,238","4,707"
26/08/2021,Child,University Hospital Waterford,"1,165",630,362,"2,632","4,788"
26/08/2021,Child,Wexford General Hospital,362,14,0,2,377
30/09/2021,Adult,Bantry General Hospital,644,334,186,453,"1,617"
30/09/2021,Adult,Beaumont Hospital,"17,869","4,174","1,211",934,"24,187"
30/09/2021,Adult,Cavan General Hospital,"3,333","1,274",585,727,"5,919"
